,CSC,BM,BD,BL,BG,TS,WP,WS
Phoneme,0.7788222895909864,0.7688629710051788,0.7354940681444286,0.7620108106625746,0.7735022265946057,0.7670356533366143,0.7735022265946057,0.7688629710051788
Pima,0.6726499696863357,0.6861546563546355,0.6902235400057771,0.6950312419232685,0.6738480909662792,0.6907755278946814,0.6738480909662792,0.6861546563546355
Ring,0.9068116063621341,0.780511825567164,0.8256792098685747,0.7893725583302894,0.7779661814601362,0.7818581656206322,0.7779661814601362,0.780511825567164
Saheart,0.5828338826778868,0.6107241416232105,0.6227797036506834,0.6172149376494593,0.6133067424545068,0.6281217941405892,0.6133067424545068,0.6107241416232105
Satimage,0.8131639343386741,0.773393121236673,0.8130787638850048,0.7896732175199779,0.7252047638004389,0.7425929608894275,0.7252047638004389,0.773393121236673
Segment,0.837972856238175,0.7388825716937131,0.7984081889050061,0.714941201704675,0.7975168136398738,0.7207287504818934,0.7975168136398738,0.7388825716937131
Sonar,0.763949880846334,0.6978329676859089,0.7163645962927158,0.7619540179985732,0.6839854867354868,0.7005383782883783,0.6839854867354868,0.6978329676859089
Spambase,0.9272456952295693,0.8842433722815827,0.8890716248939976,0.8959646231234599,0.8263680259164407,0.8592185271233918,0.8263680259164407,0.8842433722815827
Splice,0.9076698421049108,0.8937539758044757,0.9146195201811412,0.8909165510047059,0.8429964415494144,0.8678397691258436,0.8429964415494144,0.8937539758044757
Tae,0.4957734857734858,0.5026876826876827,0.5034088134088134,0.5026876826876827,0.5226493876493876,0.5226493876493876,0.5226493876493876,0.5026876826876827
Texture,0.7834127740936766,0.6828821182517237,0.7780658869218815,0.695024640476303,0.6167835116360434,0.6390220440690119,0.6167835116360434,0.6828821182517237
Tic-tac-toe,1.0,0.9812241013743475,0.9931556599371636,0.980077832717631,0.8594986696743956,0.9244813558150217,0.8594986696743956,0.9812241013743475
Titanic,0.6653759648039637,0.6700663687867549,0.6690822044435148,0.67009413282464,0.6806725907065688,0.6806725907065688,0.6806725907065688,0.6700663687867549
Twonorm,0.9129266916848999,0.8538713727712611,0.8799929981942192,0.8714533291924749,0.817170405418102,0.8193708888509029,0.817170405418102,0.8538713727712611
Vehicle,0.6166201805435119,0.5549346429561625,0.6195403279790039,0.5720137878002275,0.5133728056142135,0.5340107729280958,0.5133728056142135,0.5549346429561625
Vowel,0.5811219987685755,0.4483517874556083,0.5665583565016867,0.4684550828081126,0.39893036355485145,0.4070761949452321,0.39893036355485145,0.4483517874556083
Wdbc,0.958514962029142,0.9392625049235048,0.9289627879981044,0.9318727038312314,0.9530879760381026,0.9416424121064612,0.9530879760381026,0.9392625049235048
Wine,0.9050023179434945,0.9269659044659045,0.8965341194752959,0.9268451918451918,0.8956795056795055,0.8981205831205831,0.8956795056795055,0.9269659044659045
Wisconsin,0.9492820185253125,0.949814607364529,0.9448312944343978,0.9491251671541289,0.9420592954522615,0.9467128611723907,0.9420592954522615,0.949814607364529
